age,count,avg_benefit,total_benefit
45,477.6,15583.752093802344,7442800.0
46,477.6,15583.752093802344,7442800.0
47,477.6,15583.752093802344,7442800.0
48,477.6,15583.752093802344,7442800.0
49,477.6,15583.752093802344,7442800.0
50,941.6,31810.110450297365,29952400.0
51,941.6,31810.110450297365,29952400.0
52,941.6,31810.110450297365,29952400.0
53,941.6,31810.110450297365,29952400.0
54,941.6,31810.110450297365,29952400.0
55,3408.8,32526.9302980521,110877800.0
56,3408.8,32526.9302980521,110877800.0
57,3408.8,32526.9302980521,110877800.0
58,3408.8,32526.9302980521,110877800.0
59,3408.8,32526.9302980521,110877800.0
60,9731.6,26204.221299683504,255009000.0
61,9731.6,26204.221299683504,255009000.0
62,9731.6,26204.221299683504,255009000.0
63,9731.6,26204.221299683504,255009000.0
64,9731.6,26204.221299683504,255009000.0
65,18724.4,23815.05415393817,445922600.0
66,18724.4,23815.05415393817,445922600.0
67,18724.4,23815.05415393817,445922600.0
68,18724.4,23815.05415393817,445922600.0
69,18724.4,23815.05415393817,445922600.0
70,21288.4,25090.415437515265,534134800.0
71,21288.4,25090.415437515265,534134800.0
72,21288.4,25090.415437515265,534134800.0
73,21288.4,25090.415437515265,534134800.0
74,21288.4,25090.415437515265,534134800.0
75,16537.4,25460.858417889147,421056400.0
76,16537.4,25460.858417889147,421056400.0
77,16537.4,25460.858417889147,421056400.0
78,16537.4,25460.858417889147,421056400.0
79,16537.4,25460.858417889147,421056400.0
80,8810.5,24326.258441632144,214326500.0
81,8810.5,24326.258441632144,214326500.0
82,8810.5,24326.258441632144,214326500.0
83,8810.5,24326.258441632144,214326500.0
84,8810.5,24326.258441632144,214326500.0
85,4405.25,24326.258441632144,107163250.0
86,4405.25,24326.258441632144,107163250.0
87,4405.25,24326.258441632144,107163250.0
88,4405.25,24326.258441632144,107163250.0
89,4405.25,24326.258441632144,107163250.0
90,2202.625,24326.258441632144,53581625.0
91,2202.625,24326.258441632144,53581625.0
92,2202.625,24326.258441632144,53581625.0
93,2202.625,24326.258441632144,53581625.0
94,2202.625,24326.258441632144,53581625.0
95,440.525,24326.258441632144,10716325.0
96,440.525,24326.258441632144,10716325.0
97,440.525,24326.258441632144,10716325.0
98,440.525,24326.258441632144,10716325.0
99,440.525,24326.258441632144,10716325.0
100,419.54761904762046,24326.25844163206,10206023.80952381
101,419.54761904762046,24326.25844163206,10206023.80952381
102,419.54761904762046,24326.25844163206,10206023.80952381
103,419.54761904762046,24326.25844163206,10206023.80952381
104,419.54761904762046,24326.25844163206,10206023.80952381
105,419.54761904762046,24326.25844163206,10206023.80952381
106,419.54761904762046,24326.25844163206,10206023.80952381
107,419.54761904762046,24326.25844163206,10206023.80952381
108,419.54761904762046,24326.25844163206,10206023.80952381
109,419.54761904762046,24326.25844163206,10206023.80952381
110,419.54761904762046,24326.25844163206,10206023.80952381
111,419.54761904762046,24326.25844163206,10206023.80952381
112,419.54761904762046,24326.25844163206,10206023.80952381
113,419.54761904762046,24326.25844163206,10206023.80952381
114,419.54761904762046,24326.25844163206,10206023.80952381
115,419.54761904762046,24326.25844163206,10206023.80952381
116,419.54761904762046,24326.25844163206,10206023.80952381
117,419.54761904762046,24326.25844163206,10206023.80952381
118,419.54761904762046,24326.25844163206,10206023.80952381
119,419.54761904762046,24326.25844163206,10206023.80952381
120,419.54761904762046,24326.25844163206,10206023.80952381
