yos,salary_increase
0,0.074
1,0.057
2,0.054
3,0.054
4,0.054
5,0.054
6,0.054
7,0.053
8,0.053
9,0.053
10,0.053
11,0.051
12,0.051
13,0.05
14,0.05
15,0.05
16,0.048
17,0.048
18,0.048
19,0.048
20,0.048
21,0.048
22,0.048
23,0.048
24,0.048
25,0.048
26,0.048
27,0.048
28,0.048
29,0.048
30,0.048
