age,yos,count
27,7,2.0
32,7,5.0
32,12,4.0
37,7,2.0
37,12,5.0
37,17,1.0
42,7,1.0
42,12,4.0
42,17,5.0
42,22,3.0
47,12,4.0
47,17,4.0
47,22,5.0
47,27,6.0
52,7,2.0
52,12,1.0
52,17,4.0
52,22,6.0
52,27,4.0
52,32,2.0
57,12,1.0
57,17,1.0
57,22,2.0
57,27,1.0
57,32,1.0
62,22,1.0
