age,male_improvement,female_improvement,ref_2021_male_qx,ref_2021_female_qx,ref_2021_male_qx_smoothed,ref_2021_female_qx_smoothed,estimated_2021_male_qx,estimated_2021_female_qx
20,0.0135,0.0135,0.00030139499064611486,0.00011194671081141408,0.00030139499064611475,0.00011194671081141408,0.00030139499064611475,0.00011194671081141408
21,0.0135,0.0135,0.0002755611343050193,0.00011194671081141408,0.0002890636284528858,0.00011237687150649198,0.00030139499064611475,0.00011235764732458977
22,0.0135,0.0135,0.00024972727796392373,0.00010333542536438224,0.0002795541839278364,0.00011361908109464227,0.00030139499064611475,0.00011354998798525107
23,0.0135,0.0135,0.00021528213617579635,9.47241399173504e-05,0.00027236543322984387,0.0001156113964607674,0.00030139499064611475,0.0001154730249316293
24,0.0135,0.0135,0.00019805956528173263,9.47241399173504e-05,0.00026708515303650114,0.00011830180334228726,0.00030139499064611475,0.00011808611237489608
25,0.0135,0.0135,0.0001894482798347008,9.47241399173504e-05,0.00026336471508999767,0.00012164373042720021,0.00030139499064611475,0.00012135502866227952
26,0.0135,0.0135,0.00019805956528173263,0.00010333542536438224,0.0002608998531937835,0.0001255920203200748,0.00030139499064611475,0.00012524870290057109
27,0.0135,0.0135,0.00021528213617579635,0.00011194671081141408,0.0002594160268535494,0.00013009919780488144,0.00030139499064611475,0.00012973616081595827
28,0.0135,0.0135,0.00022389342162282817,0.00012055799625844594,0.000258657344453216,0.00013511194629077346,0.00030139499064611475,0.0001347835932541866
29,0.0135,0.0135,0.00024111599251689189,0.00013778056715250966,0.00025837838954566496,0.00014056776664318716,0.00030139499064611475,0.00014035149378297193
30,0.0135,0.0135,0.0002583385634109556,0.0001463918525995415,0.00025833856341095536,0.00014639185259954143,0.00030139499064611475,0.00014639185259954143
31,0.0135,0.0135,0.0002755611343050193,0.00016361442349360522,0.00026120781335345025,0.0001538048512247558,0.00030139499064611475,0.00015467341893712393
32,0.0135,0.0135,0.000292783705199083,0.00017222570894063707,0.00026945352704746867,0.00016408280618391302,0.00030139499064611475,0.00016703827054096582
33,0.0135,0.0135,0.00031000627609314676,0.0001894482798347008,0.0002827110450622117,0.0001772617612790783,0.00030139499064611475,0.0001836407167740132
34,0.0135,0.0135,0.00032722884698721045,0.00020667085072876448,0.000300762220021217,0.00019339490152067736,0.00031915431600048407,0.0002047037707550436
35,0.0135,0.0135,0.000353062703328306,0.00022389342162282817,0.00032343409441745936,0.00021250638660284544,0.00035262459934802304,0.00023042932588061363
36,0.0135,0.0135,0.0003702852742223697,0.00024111599251689189,0.00035050218911619106,0.00023453895689661366,0.0003933405304455448,0.00026088906312652727
37,0.0135,0.0135,0.00039611913056346527,0.0002669498488579875,0.0003815913299919715,0.000259294353171758,0.00044092965055904116,0.00029589074982334105
38,0.0135,0.0135,0.0004219529869045608,0.00028417241975205117,0.00041607296600230264,0.00028636848788218746,0.0004944412810739105,0.0003348231431676459
39,0.0135,0.0135,0.00045639812869268824,0.00031000627609314676,0.0004529644759102971,0.00031508702670413226,0.0005520841228691944,0.0003764950660810916
40,0.0135,0.0135,0.0004908432704808156,0.00034445141788127414,0.0004908432704808154,0.0003444514178812741,0.0006109999999999999,0.00041900000000000005
41,0.0135,0.0135,0.000533899697715975,0.0003702852742223697,0.0005315466787034836,0.0003743409089293032,0.0006732320958525544,0.0004622152631130176
42,0.0135,0.0135,0.0005769561249511342,0.0004047304160104971,0.0005785434464283258,0.00040570658466431163,0.0007439996624352921,0.0005079730430801305
43,0.0135,0.0135,0.0006372351230803571,0.00044778684324565634,0.0006325537433549038,0.0004389874909346525,0.0008244170294238177,0.0005568565420964006
44,0.0135,0.0135,0.0006975141212095801,0.00048223198503378377,0.0006943791064643294,0.0004747636140091649,0.0009157341810960265,0.0006096666184977966
45,0.0135,0.0135,0.0007750156902328667,0.000533899697715975,0.0007648997206275008,0.0005137806846782787,0.001019347160280263,0.0006674643731337257
46,0.0135,0.0135,0.0008611285447031854,0.0005769561249511342,0.0008450684414741508,0.0005569844283789148,0.0011368076740079015,0.0007316283043810189
47,0.0135,0.0135,0.0009558526846205358,0.0006286238376333253,0.0009359004776035851,0.0006055683093553721,0.001269831302655071,0.0008039328899377503
48,0.0135,0.0135,0.001050576824537886,0.0006802915503155164,0.0010384575275063411,0.0006610402456367246,0.0014203035721908328,0.0008866579991363279
49,0.0135,0.0135,0.0011625235353493002,0.0007405705484447393,0.0011538250770380834,0.0007253159186030869,0.0015902829927307146,0.0009827423489331278
50,0.0135,0.0135,0.0012830815316077463,0.0008008495465739624,0.0012830815316077467,0.0008008495465739622,0.0017820000000000004,0.001096
51,0.0135,0.0135,0.001412250813313224,0.0008697398301502172,0.001432527633181443,0.0008944093950079279,0.0020053408252397016,0.0012369925157753171
52,0.0135,0.0135,0.0015500313804657335,0.000938630113726472,0.0016096587950930094,0.0010125390404352689,0.002271407261625892,0.0014160144785722512
53,0.0135,0.0135,0.001696423233065275,0.0010075203973027268,0.0018173217871972293,0.0011579868662232706,0.002584151857566129,0.001637354983763336
54,0.0135,0.0135,0.0018428150856648166,0.0010850219663260136,0.002058174296997949,0.0013333321367528105,0.0029467761624483784,0.0019046840902172087
55,0.0135,0.0135,0.003005338621014117,0.002290601928910473,0.0023343711186203505,0.0015404313266032656,0.003361028909657962,0.002219925726868295
56,0.0135,0.0135,0.003220620757189913,0.002411159925168919,0.002647160108680694,0.0017796805094392404,0.0038263370197148244,0.002581783033272351
57,0.0135,0.0135,0.0034445141788127416,0.0025403292068743965,0.0029963890282124856,0.002049103422683648,0.004338803190219198,0.0029839893892865945
58,0.0135,0.0135,0.0036942414567766656,0.0026781097740269065,0.003379939995161161,0.002343334415009274,0.004890151678772489,0.0034135122561500786
59,0.0135,0.0135,0.003952580020187621,0.002815890341179416,0.003793129839809546,0.0026526481313364912,0.0054667629839376215,0.003849131464869081
60,0.0135,0.0135,0.00422814115449264,0.0029622821937789574,0.00422814115449264,0.002962282193778958,0.006048999999999999,0.004260999999999999
61,0.0135,0.0135,0.004520924859691723,0.003125896617272563,0.004678790661836659,0.0032651682663319597,0.006622683348528097,0.004638606075386705
62,0.0135,0.0135,0.004839542421231901,0.0032981223262132,0.005147837922951359,0.0035675342413121008,0.007191664013876982,0.004996480534087258
63,0.0134,0.0134,0.005198398091142176,0.0034914614044984768,0.005639836224444174,0.003872316187236421,0.007761650718993819,0.0053391603967543905
64,0.0132,0.0132,0.005607447882496908,0.0037066180918199905,0.00616171719260296,0.0041847564313484,0.008342427127968193,0.005674728770546838
65,0.0131,0.0131,0.006054840102908472,0.00394429583846609,0.006723167554266504,0.004512559130865497,0.008948055785066402,0.006014671798034105
66,0.0129,0.0129,0.006753208037126629,0.00436921290206909,0.0073371310583660075,0.004866151284173392,0.009597258506015937,0.006373892815085664
67,0.0128,0.0128,0.007541823943869391,0.004860093680744372,0.008020511217471476,0.005259142301555073,0.010314122029159234,0.006771032307078683
68,0.0127,0.0127,0.00846251524439496,0.00542157034137829,0.00879517571037767,0.005709097845817929,0.01112930935478256,0.007229256530847605
69,0.0125,0.0125,0.009526326655376567,0.006095455812398169,0.009689401438097942,0.006238783763495363,0.012082014537453455,0.007777720242097355
70,0.0124,0.0124,0.010739958462082281,0.0068781065150835385,0.01073995846208228,0.006878106515083538,0.013223000000000004,0.008453999999999996
71,0.0123,0.0123,0.012139553724265353,0.007793401492285378,0.011987345662493857,0.00766351353733325,0.014608486351195353,0.009311346427392252
