age,early_retire_rate
55,0
56,0
57,0
58,0
59,0
60,0
61,0.05
62,0.05
63,0.05
64,0.05
65,0.14
66,0.14
67,0.14
68,0.14
69,0.14
70,0.14
71,0.14
72,0.14
73,0.14
74,0.14
75,0.14
76,0.14
77,0.14
78,0.14
79,0.14
80,1
