age,early_retire_rate
52,0
53,0
54,0
55,0
56,0
57,0
58,0.03
59,0.03
60,0.03
61,0.03
62,0.03
63,0.05
64,0.05
65,0.05
66,0.05
67,0.12
68,0.12
69,0.12
70,0.12
71,0.12
72,0.12
73,0.12
74,0.12
75,0.12
76,0.12
77,0.12
78,0.12
79,0.12
80,1
