lookup_type,age,lookup_value,term_rate
yos,24,22,0.0139999999999999
yos,24,23,0.0115
yos,24,24,0.0115
yos,24,25,0.01
yos,24,26,0.01
yos,24,27,0.009
yos,24,28,0.0065
yos,24,29,0.005
yos,24,30,0.005
yos,24,31,0.005
yos,24,32,0.005
yos,24,33,0.005
yos,24,34,0.005
yos,24,35,0.005
yos,24,36,0.005
yos,24,37,0.005
yos,24,38,0.005
yos,24,39,0.005
yos,24,40,0.005
yos,24,41,0.005
yos,24,42,0.005
yos,24,43,0.005
yos,24,44,0.005
yos,24,45,0.005
yos,24,46,0.005
yos,24,47,0.005
yos,24,48,0.005
yos,24,49,0.005
yos,24,50,0.005
yos,24,51,0.005
yos,24,52,0.005
yos,24,53,0.005
yos,24,54,0.005
yos,24,55,0.005
yos,24,56,0.005
yos,24,57,0.005
yos,24,58,0.005
yos,24,59,0.005
yos,24,60,0.005
yos,24,61,0.005
yos,24,62,0.005
yos,24,63,0.005
yos,24,64,0.005
yos,24,65,0.005
yos,24,66,0.005
yos,24,67,0.005
yos,24,68,0.005
yos,24,69,0.005
yos,24,70,0.005
yos,25,0,0.265
yos,25,1,0.17
yos,25,2,0.135
yos,25,3,0.115
yos,25,4,0.1
yos,25,5,0.0849999999999999
yos,25,6,0.0825
yos,25,7,0.0775
yos,25,8,0.0574999999999999
yos,25,9,0.05
yos,25,10,0.0424999999999999
yos,25,11,0.0375
yos,25,12,0.0325
yos,25,13,0.0325
yos,25,14,0.0275
yos,25,15,0.0275
yos,25,16,0.025
yos,25,17,0.0225
yos,25,18,0.02
yos,25,19,0.02
yos,25,20,0.0175
yos,25,21,0.0139999999999999
yos,25,22,0.0139999999999999
yos,25,23,0.0115
yos,25,24,0.0115
yos,25,25,0.01
yos,25,26,0.01
yos,25,27,0.009
yos,25,28,0.0065
yos,25,29,0.005
yos,25,30,0.005
yos,25,31,0.005
yos,25,32,0.005
yos,25,33,0.005
yos,25,34,0.005
yos,25,35,0.005
yos,25,36,0.005
yos,25,37,0.005
yos,25,38,0.005
yos,25,39,0.005
yos,25,40,0.005
yos,25,41,0.005
yos,25,42,0.005
yos,25,43,0.005
yos,25,44,0.005
yos,25,45,0.005
yos,25,46,0.005
yos,25,47,0.005
yos,25,48,0.005
yos,25,49,0.005
yos,25,50,0.005
yos,25,51,0.005
yos,25,52,0.005
yos,25,53,0.005
yos,25,54,0.005
yos,25,55,0.005
yos,25,56,0.005
yos,25,57,0.005
yos,25,58,0.005
yos,25,59,0.005
yos,25,60,0.005
yos,25,61,0.005
yos,25,62,0.005
yos,25,63,0.005
yos,25,64,0.005
yos,25,65,0.005
yos,25,66,0.005
yos,25,67,0.005
yos,25,68,0.005
yos,25,69,0.005
yos,25,70,0.005
yos,26,0,0.265
yos,26,1,0.17
yos,26,2,0.135
yos,26,3,0.115
yos,26,4,0.1
yos,26,5,0.0849999999999999
yos,26,6,0.0825
yos,26,7,0.0775
yos,26,8,0.0574999999999999
yos,26,9,0.05
yos,26,10,0.0424999999999999
yos,26,11,0.0375
yos,26,12,0.0325
yos,26,13,0.0325
yos,26,14,0.0275
yos,26,15,0.0275
yos,26,16,0.025
yos,26,17,0.0225
yos,26,18,0.02
yos,26,19,0.02
yos,26,20,0.0175
yos,26,21,0.0139999999999999
yos,26,22,0.0139999999999999
yos,26,23,0.0115
yos,26,24,0.0115
yos,26,25,0.01
yos,26,26,0.01
yos,26,27,0.009
yos,26,28,0.0065
yos,26,29,0.005
yos,26,30,0.005
yos,26,31,0.005
yos,26,32,0.005
yos,26,33,0.005
yos,26,34,0.005
yos,26,35,0.005
yos,26,36,0.005
yos,26,37,0.005
yos,26,38,0.005
yos,26,39,0.005
