yos,salary_increase
0,0.078
1,0.058
2,0.054
3,0.051
4,0.047
5,0.046
6,0.046
7,0.044
8,0.044
9,0.044
10,0.044
11,0.043
12,0.042
13,0.042
14,0.042
15,0.042
16,0.042
17,0.042
18,0.041
19,0.041
20,0.041
21,0.04
22,0.04
23,0.039
24,0.039
25,0.038
26,0.037
27,0.036
28,0.035
29,0.034
30,0.034
