age,yos,salary
27,7,43553.0
32,7,46372.0
32,12,46589.0
37,7,44457.0
37,12,45751.0
37,17,45056.0
42,7,42061.0
42,12,41306.0
42,17,46007.0
42,22,43711.0
47,12,41587.0
47,17,45440.0
47,22,53647.0
47,27,57724.0
52,7,44220.0
52,12,43856.0
52,17,46451.0
52,22,43664.0
52,27,62433.0
52,32,79840.0
57,12,33376.0
57,17,61310.0
57,22,57342.0
57,27,64478.0
57,32,42000.0
62,22,44290.0
