age,normal_retire_rate
45,0.05
46,0.05
47,0.05
48,0.19
49,0.19
50,0.19
51,0.19
52,0.19
53,0.19
54,0.19
55,0.19
56,0.19
57,0.5800000000000001
58,0.5800000000000001
59,0.5800000000000001
60,0.5800000000000001
61,0.5800000000000001
62,0.45999999999999996
63,0.06
64,0.06
65,0.06
66,0.06
67,0.06
68,0.06
69,0.06
70,0.06
71,0.06
72,0.06
73,0.06
74,0.06
75,0.06
76,0.06
77,0.06
78,0.06
79,0.06
80,1
