age,early_retire_rate
55,0
56,0
57,0
58,0
59,0
60,0
61,0.06
62,0.06
63,0.06
64,0.06
65,0.11
66,0.11
67,0.11
68,0.11
69,0.11
70,0.11
71,0.11
72,0.11
73,0.11
74,0.11
75,0.11
76,0.11
77,0.11
78,0.11
79,0.11
80,1
