age,count,avg_benefit,total_benefit
55,6691.4,38087.27985175001,254857224.4
56,6691.4,38087.27985175001,254857224.4
57,6691.4,38087.27985175001,254857224.4
58,6691.4,38087.27985175001,254857224.4
59,6691.4,38087.27985175001,254857224.4
60,11386.4,34008.41221105881,387233384.8
61,11386.4,34008.41221105881,387233384.8
62,11386.4,34008.41221105881,387233384.8
63,11386.4,34008.41221105881,387233384.8
64,11386.4,34008.41221105881,387233384.8
65,18970.0,28907.8087612019,548381132.2
66,18970.0,28907.8087612019,548381132.2
67,18970.0,28907.8087612019,548381132.2
68,18970.0,28907.8087612019,548381132.2
69,18970.0,28907.8087612019,548381132.2
70,21405.6,26612.752952498413,569661944.6
71,21405.6,26612.752952498413,569661944.6
72,21405.6,26612.752952498413,569661944.6
73,21405.6,26612.752952498413,569661944.6
74,21405.6,26612.752952498413,569661944.6
75,17685.0,24532.682838563756,433860496.0
76,17685.0,24532.682838563756,433860496.0
77,17685.0,24532.682838563756,433860496.0
78,17685.0,24532.682838563756,433860496.0
79,17685.0,24532.682838563756,433860496.0
80,10579.0,22539.844522166557,238449015.2
81,10579.0,22539.844522166557,238449015.2
82,10579.0,22539.844522166557,238449015.2
83,10579.0,22539.844522166557,238449015.2
84,10579.0,22539.844522166557,238449015.2
85,5502.8,21942.79199680163,120746795.8
86,5502.8,21942.79199680163,120746795.8
87,5502.8,21942.79199680163,120746795.8
88,5502.8,21942.79199680163,120746795.8
89,5502.8,21942.79199680163,120746795.8
90,2320.2,22611.689337126114,52463641.6
91,2320.2,22611.689337126114,52463641.6
92,2320.2,22611.689337126114,52463641.6
93,2320.2,22611.689337126114,52463641.6
94,2320.2,22611.689337126114,52463641.6
95,570.8,22837.18079887877,13035462.8
96,570.8,22837.18079887877,13035462.8
97,570.8,22837.18079887877,13035462.8
98,570.8,22837.18079887877,13035462.8
99,570.8,22837.18079887877,13035462.8
100,15.952380952380953,21115.75223880597,336846.5238095238
101,15.952380952380953,21115.75223880597,336846.5238095238
102,15.952380952380953,21115.75223880597,336846.5238095238
103,15.952380952380953,21115.75223880597,336846.5238095238
104,15.952380952380953,21115.75223880597,336846.5238095238
105,15.952380952380953,21115.75223880597,336846.5238095238
106,15.952380952380953,21115.75223880597,336846.5238095238
107,15.952380952380953,21115.75223880597,336846.5238095238
108,15.952380952380953,21115.75223880597,336846.5238095238
109,15.952380952380953,21115.75223880597,336846.5238095238
110,15.952380952380953,21115.75223880597,336846.5238095238
111,15.952380952380953,21115.75223880597,336846.5238095238
112,15.952380952380953,21115.75223880597,336846.5238095238
113,15.952380952380953,21115.75223880597,336846.5238095238
114,15.952380952380953,21115.75223880597,336846.5238095238
115,15.952380952380953,21115.75223880597,336846.5238095238
116,15.952380952380953,21115.75223880597,336846.5238095238
117,15.952380952380953,21115.75223880597,336846.5238095238
118,15.952380952380953,21115.75223880597,336846.5238095238
119,15.952380952380953,21115.75223880597,336846.5238095238
120,15.952380952380953,21115.75223880597,336846.5238095238
