entry_year,entry_age,age,yos,count,entry_salary
2020,20,22,2,2.9709154792113996,35930.757377486065
2020,25,27,2,210.9349990240094,45412.92396841612
2015,20,27,7,16.3400351356627,38553.99537546574
2020,30,32,2,233.21686511809486,47977.149182898786
2015,25,32,7,310.46066757759127,43260.632965136036
2010,20,32,12,22.281866094085498,43053.00265920317
2020,35,37,2,129.23482334569587,54795.152401419975
2015,30,37,7,374.3353503806363,47155.45454101757
2010,25,37,12,262.9260199102089,43981.459976373495
2005,20,37,17,74.272886980285,34612.48318820373
2020,40,42,2,86.15654889713059,77997.8884860992
2015,35,42,7,148.54577396057,54231.83677482925
2010,30,42,12,215.39137224282646,44182.818215521846
2005,25,42,17,359.48077298457935,40047.51446636904
2000,20,42,22,90.61292211594768,35288.76241833163
2020,45,47,2,84.67109115752488,80102.5690085793
2015,40,47,7,130.7202810853016,76942.46873099945
2010,35,47,12,145.57485848135858,56248.24407651082
2005,30,47,17,280.75151278547725,42283.60495607978
2000,25,47,22,378.79172359945346,35263.83217289304
1995,20,47,27,129.23482334569587,26951.523123880288
2020,50,52,2,89.12746437634199,102140.21408974275
2015,45,52,7,106.95295725161039,71429.70099845408
2010,40,52,12,126.26390786648449,53547.73382678555
2005,35,52,17,215.39137224282646,45156.1150310077
2000,30,52,22,380.27718133905915,38157.70882104156
1995,25,52,27,476.8319344134296,33497.284011609365
1990,20,52,32,108.43841499121609,27351.17502103059
2020,55,57,2,89.12746437634199,102400.73663818286
2015,50,57,7,114.38024594963889,71425.91041784495
2010,45,57,12,129.23482334569587,60142.34169395587
2005,40,57,17,191.62404840913527,46400.88276416088
2000,35,57,22,227.27503415967206,39046.01282956414
1995,30,57,27,334.22799141128246,33528.946228651876
1990,25,57,32,185.68221745071247,29739.395824335443
1985,20,57,37,22.281866094085498,24900.234100001544
2020,60,62,2,57.93285184462229,96232.758532327
2015,55,62,7,111.40933047042749,85111.80170711041
2010,50,62,12,105.4674995120047,63137.60826881849
2005,45,62,17,129.23482334569587,50653.304491724135
2000,40,62,22,105.4674995120047,42754.71486810043
1995,35,62,27,139.63302752293578,33923.65064619028
1990,30,62,32,56.44739410501659,29081.15906400907
1985,25,62,37,46.049189927776695,25181.38778298688
1980,20,62,42,8.9127464376342,16061.887650477844
2020,65,67,2,10.398204177239899,67032.87879978542
2015,60,67,7,37.1364434901425,85917.93184998549
2010,55,67,12,56.44739410501659,74220.8478061811
2005,50,67,17,71.3019715010736,43632.63802770585
2000,45,67,22,62.38922506343939,44374.85279206388
1995,40,67,27,40.107358969353896,38413.24569326891
1990,35,67,32,28.223697052508296,36846.11408462473
1985,30,67,37,25.252781573296897,24506.870294496515
1980,25,67,42,11.883661916845599,27691.005648930237
1975,20,67,47,7.427288698028499,29142.60433051167
