entry_year,entry_age,yos,term_age,tier_at_term_age,salary,fas,db_benefit,pvfb_db_wealth_at_term_age,pvfb_db_wealth_at_current_age,pvfs_at_current_age,indv_norm_cost,pvfnc_db,separation_rate,remaining_prob
1990,20,0,20,tier_1_non_vested,24963.203886143096,NA,0,0,28099.712599263174,227711.40770577313,0.12340054845021611,28099.712599263174,0.2075,1
1990,20,1,21,tier_1_non_vested,25886.842429930388,NA,0,748.8961165842928,37636.58977819883,275085.0071115668,0.12340054845021611,33945.64074799894,0.11750000000000001,0.7925
1990,20,2,22,tier_1_non_vested,26844.65559983781,NA,0,1525.5013894822046,45301.97720121696,303262.1644851121,0.12340054845021611,37422.717421662484,0.095,0.69938125
1990,20,3,23,tier_1_non_vested,27837.90785703181,NA,0,2330.841057477339,53166.60748424107,327885.1645367701,0.12340054845021611,40461.209132526776,0.07500000000000001,0.63294003125
1990,20,4,24,tier_1_non_vested,28867.910447741982,NA,0,3165.978293188293,61071.6992580498,348124.9326526505,0.12340054845021611,42958.807618531624,0.065,0.58546952890625
1990,20,5,25,tier_1_non_vested,29936.023134308434,26880.104044137017,0,4032.0156066205523,69413.28566193454,366397.21143597434,0.12340054845021611,45213.61684182903,0.0575,0.5474140095273438
1990,20,6,26,tier_1_vested,31043.655990277843,27874.667893770085,2408.3713060217356,6680.036360108478,78174.93231891557,383034.2721144574,0.12340054845021611,47266.639254153364,0.0575,0.5159377039795215
1990,20,7,27,tier_1_vested,32192.271261918122,28906.030605839576,2913.7278850686293,8626.212913953143,87975.22073393168,400693.8062131016,0.12340054845021611,49445.83544730135,0.055,0.486271286000699
1990,20,8,28,tier_1_vested,33383.385298609086,29975.55373825564,3453.18379064705,10912.052208412511,98697.77529274326,418357.6930872606,0.12340054845021611,51625.568775335145,0.0475,0.45952636527066054
1990,20,9,29,tier_1_vested,34618.57055465762,31084.649226571095,4028.5705397636143,13588.017002478184,109884.61462439832,433600.2868509165,0.12340054845021611,53506.51320557413,0.035,0.4376988629203042
1990,20,10,30,tier_1_vested,35899.45766517995,32234.781247954223,4641.808499705408,16711.4784680093,120893.24565580583,443557.4461298138,0.12340054845021611,54735.23212159621,0.030000000000000002,0.42237940271809354
1990,20,11,31,tier_1_vested,37227.73759879161,33427.468154128524,5294.910955613958,20347.568646503176,132353.26397458737,450903.44057250675,0.12340054845021611,55641.73186473676,0.025,0.4097080206365507
1990,20,12,32,tier_1_vested,38605.16388994689,34664.28447583128,5989.9883574236455,24570.47445668088,144211.97005073607,455267.93178674136,0.12340054845021611,56180.31247427946,0.025,0.39946532012063696
1990,20,13,33,tier_1_vested,40033.554953874926,35946.86300143703,6729.252753869012,29464.35851434953,157064.16726284783,458631.5070015448,0.12340054845021611,56595.37950053976,0.0225,0.389478687117621
1990,20,14,34,tier_1_vested,41514.7964871683,37276.8969324902,7515.022421590024,35124.70067327215,170636.4815389361,459668.81127035624,0.12340054845021611,56723.383416220844,0.02,0.38071541665747455
1990,20,15,35,tier_1_vested,43050.84395719352,38656.142118992335,8349.726697702345,41660.15432724588,184934.6150158162,458114.1072839815,0.12340054845021611,56531.53209162446,0.019,0.373101108324325
1990,20,16,36,tier_1_vested,44643.72518360968,40086.41937739505,9235.911024551819,49193.01302263829,200194.2578740527,454390.3246838071,0.12340054845021611,56072.01527645357,0.015,0.36601218726616286
1990,20,17,37,tier_1_vested,46295.54301540323,41569.61689435866,10176.242215739001,57862.638213020866,215979.0188613391,446894.1637096574,0.12340054845021611,55146.984900972384,0.015,0.3605220044571704
