age,2,7,12,17,22,27,32,37,42,47,52
20,,,,,,,,,,,
22,,,,,,,,,,,
27,1.0,1.0,,,,,,,,,
32,8.0,4.0,2.0,,,,,,,,
37,9.0,10.0,7.0,2.0,,,,,,,
42,16.0,17.0,11.0,10.0,4.0,,,,,,
47,15.0,19.0,13.0,11.0,10.0,5.0,1.0,,,,
52,11.0,28.0,25.0,16.0,17.0,17.0,9.0,1.0,,,
57,11.0,29.0,20.0,12.0,15.0,5.0,11.0,5.0,,,
62,7.0,34.0,16.0,12.0,10.0,10.0,5.0,3.0,,,
67,17.0,31.0,26.0,28.0,21.0,14.0,4.0,6.0,4.0,,
