age,n_retire,total_ben,avg_ben,n_retire_ratio,total_ben_ratio
45,477.6,7442800,15583.752093802344,0.0010765145811826322,6.666043303666261e-4
46,477.6,7442800,15583.752093802344,0.0010765145811826322,6.666043303666261e-4
47,477.6,7442800,15583.752093802344,0.0010765145811826322,6.666043303666261e-4
48,477.6,7442800,15583.752093802344,0.0010765145811826322,6.666043303666261e-4
49,477.6,7442800,15583.752093802344,0.0010765145811826322,6.666043303666261e-4
50,941.6,29952400,31810.110450297365,0.0021223746433031124,0.0026826462547526915
51,941.6,29952400,31810.110450297365,0.0021223746433031124,0.0026826462547526915
52,941.6,29952400,31810.110450297365,0.0021223746433031124,0.0026826462547526915
53,941.6,29952400,31810.110450297365,0.0021223746433031124,0.0026826462547526915
54,941.6,29952400,31810.110450297365,0.0021223746433031124,0.0026826462547526915
55,3408.8,110877800,32526.9302980521,0.007683465042578217,0.009930620414565041
56,3408.8,110877800,32526.9302980521,0.007683465042578217,0.009930620414565041
57,3408.8,110877800,32526.9302980521,0.007683465042578217,0.009930620414565041
58,3408.8,110877800,32526.9302980521,0.007683465042578217,0.009930620414565041
59,3408.8,110877800,32526.9302980521,0.007683465042578217,0.009930620414565041
60,9731.6,255009000,26204.221299683504,0.021935111595973417,0.022839536690823743
61,9731.6,255009000,26204.221299683504,0.021935111595973417,0.022839536690823743
62,9731.6,255009000,26204.221299683504,0.021935111595973417,0.022839536690823743
63,9731.6,255009000,26204.221299683504,0.021935111595973417,0.022839536690823743
64,9731.6,255009000,26204.221299683504,0.021935111595973417,0.022839536690823743
65,18724.4,445922600,23815.054153938174,0.042204961524070515,0.03993845544262171
66,18724.4,445922600,23815.054153938174,0.042204961524070515,0.03993845544262171
67,18724.4,445922600,23815.054153938174,0.042204961524070515,0.03993845544262171
68,18724.4,445922600,23815.054153938174,0.042204961524070515,0.03993845544262171
69,18724.4,445922600,23815.054153938174,0.042204961524070515,0.03993845544262171
70,21288.4,534134800,25090.415437515265,0.047984239970788,0.04783906200348145
71,21288.4,534134800,25090.415437515265,0.047984239970788,0.04783906200348145
72,21288.4,534134800,25090.415437515265,0.047984239970788,0.04783906200348145
73,21288.4,534134800,25090.415437515265,0.047984239970788,0.04783906200348145
74,21288.4,534134800,25090.415437515265,0.047984239970788,0.04783906200348145
75,16537.4,421056400,25460.858417889147,0.03727544437782593,0.037711347821865734
76,16537.4,421056400,25460.858417889147,0.03727544437782593,0.037711347821865734
77,16537.4,421056400,25460.858417889147,0.03727544437782593,0.037711347821865734
78,16537.4,421056400,25460.858417889147,0.03727544437782593,0.037711347821865734
79,16537.4,421056400,25460.858417889147,0.03727544437782593,0.037711347821865734
80,8810.5,214326500,24326.258441632144,0.019858944132138987,0.019195863520761365
