entry_year,entry_age,yos,term_age,tier_at_term_age,salary,fas,db_benefit,pvfb_db_wealth_at_term_age,pvfb_db_wealth_at_current_age,pvfs_at_current_age,indv_norm_cost,pvfnc_db,separation_rate,remaining_prob
1985,30,0,30,tier_1_non_vested,45069.127443670914,NA,0,0,180856.82391356488,776720.745759903,0.23284665035774732,180856.82391356488,0.01,1
1985,30,1,31,tier_1_non_vested,46646.54690419939,NA,0,1352.0738233101274,194909.80846216227,791607.9881637829,0.23284665035774732,184323.26844037214,0.01,0.99
1985,30,2,32,tier_1_non_vested,48279.17604584637,NA,0,2751.470230436109,210041.66760285123,806059.7742086435,0.23284665035774732,187688.31841260477,0.01,0.9801
1985,30,3,33,tier_1_non_vested,49968.94720745098,NA,0,4199.8455118115,226335.81906780213,819986.4677118949,0.23284665035774732,190931.10234539586,0.01,0.970299
1985,30,4,34,tier_1_non_vested,51717.86035971177,NA,0,5698.913928035029,243882.1513192572,833289.5089304455,0.23284665035774732,194028.67093270642,0.01,0.96059601
1985,30,5,35,tier_1_non_vested,53527.98547230167,48336.331592175884,0,7250.449738826383,262777.52622248395,845860.6521909833,0.23284665035774732,196955.81953209,0.01,0.9509900498999999
1985,30,6,36,tier_1_vested,55401.46496383222,50028.10319790203,8996.053517046745,25381.08634077148,282959.40365250775,857581.1418338158,0.23284665035774732,199684.89628597623,0.01,0.941480149401
1985,30,7,37,tier_1_vested,57340.51623756635,51779.0868098286,10862.734621833944,32723.727606527045,304636.8145668287,868320.8215887364,0.23284665035774732,202185.59474282438,0.01,0.9320653479069899
1985,30,8,38,tier_1_vested,59347.434305881165,53591.354848172596,12849.063238397863,41331.27765781699,327913.3013800283,877937.1721188036,0.23284665035774732,204424.7297524165,0.01,0.9227446944279201
1985,30,9,39,tier_1_vested,61424.59450658701,55467.052267858635,14961.128008209513,51389.141357479275,352898.5870292075,886274.2710554366,0.23284665035774732,206365.99531351263,0.01,0.9135172474836408
1985,30,10,40,tier_1_vested,63574.45531431754,57408.39909723368,17205.297209440934,63107.82273485848,379708.8021543596,893161.6694035998,0.23284665035774732,207969.7029485619,0.01,0.9043820750088044
1985,30,11,41,tier_1_vested,65799.56125031866,59417.69306563686,19588.2308729485,76725.98301878778,408466.69905910455,898413.1777164883,0.23284665035774732,209192.49906854384,0.01,0.8953382542587164
1985,30,12,42,tier_1_vested,68102.54589407981,61497.31232293414,22116.893403820042,92514.01391305782,439301.8462191253,901825.5549223982,0.23284665035774732,209987.0596706971,0.01,0.8863848717161292
1985,30,13,43,tier_1_vested,70486.1350003726,63649.71825423684,24798.56672903322,110779.01811374363,472350.7876107771,903177.0921294127,0.23284665035774732,210301.7605821843,0.01,0.8775210229989678
1985,30,14,44,tier_1_vested,72953.14972538562,65877.45839313512,27640.86399259164,131871.2119871733,507757.1497584114,902226.0831330417,0.23284665035774732,210080.32132291925,0.01,0.8687458127689782
1985,30,15,45,tier_1_vested,75506.50996577412,68183.16943689485,30651.743820356085,156186.0666521758,545671.7354805083,898709.172704616,0.23284665035774732,209261.42051005206,0.01,0.8600583546412884
1985,30,16,46,tier_1_vested,78149.2378145762,70569.58036718616,33839.52517767311,184172.72243805346,586252.5399326483,892339.5730404556,0.23284665035774732,207778.2805641325,0.01,0.8514577710948755
1985,30,17,47,tier_1_vested,80884.46113808636,73039.51568003767,37212.9028438224,216340.09281291402,629664.7062424308,882805.137999586,0.23284665035774732,205558.21930181247,0.01,0.8429431933839268
1985,30,18,48,tier_1_vested,83715.41727791938,75595.89872883898,40780.96352825948,253265.75294571352,676080.38791032,869766.2839469406,0.23284665035774732,202522.16581115045,0.01,0.8345137614500875
1985,30,19,49,tier_1_vested,86645.45688264655,78241.75518434834,44553.20265462348,295602.44249132514,725678.5348236344,852853.7451449158,0.23284665035774732,198584.13780205353,0.01,0.8261686238355866
1985,30,20,50,tier_1_vested,89678.04787353918,80980.21661580053,48539.54183951084,344091.0631935044,778644.5313382653,831666.1506939178,0.23284665035774732,193650.67740500026,0.01,0.8179069375972308
1985,30,21,51,tier_1_vested,92816.77954911304,83814.52419735353,52750.34709408839,399568.76804561773,835169.7245024978,805767.4090069406,0.23284665035774732,187620.24215470706,0.01,0.8097278682212584
1985,30,22,52,tier_1_vested,96065.36683333198,86748.0325442609,57196.44777773298,462985.2706030468,895450.7508466009,774683.884708376,0.23284665035774732,180382.54764047268,0.01,0.8016305895390459
1985,30,23,53,tier_1_vested,99427.6546724986,89784.21368331002,61889.15633404244,535411.0030010524,959688.7284073862,737901.351667177,0.23284665035774732,171817.85803015632,0.01,0.7936142836436554
1985,30,24,54,tier_1_vested,102907.62258603604,92926.66116222586,66840.28884076583,618066.671295341,1028088.0873714422,694861.7046024034,0.23284665035774732,161796.22037854412,0.01,0.7856781408072188
1985,30,25,55,tier_1_vested,106509.3893765473,96179.09430290377,72062.18640645067,712335.1806645133,1100855.1893118012,644959.4103280081,0.23284665035774732,150176.6383115846,0.01,0.7778213593991467
1985,30,26,56,tier_1_vested,110237.21800472646,99545.36260350539,77567.73744790349,819782.2080437981,1178196.6312275294,587537.6782256947,0.23284665035774732,136806.180333821,0.01,0.7700431458051551
1985,30,27,57,tier_1_vested,114095.52063489186,103029.45029462807,83370.4008839101,931151.524347081,1260428.5760366707,521884.32794150466,0.23284665035774732,121519.01763538347,0.01,0.7623427143471035
1985,30,28,58,tier_1_early,118088.86385711307,106635.48105494006,71587.3842256508,1212742.8698700627,1346211.981749926,447227.3305845391,0.23284665035774732,104135.38587504685,0.03,0.7547192872036326
1985,30,29,59,tier_1_early,122221.97409211202,110367.72289186294,81535.31414745412,1342585.2431715182,1439309.9249814693,370208.9668830825,0.23284665035774732,86201.91787112797,0.03,0.7320777085875235
1985,30,30,60,tier_1_norm,126499.74318533593,114230.59319307814,102704.72633989657,1644537.3745253738,1532378.9368241923,281227.82842488354,0.23284665035774732,65482.95783611741,0.5800000000000001,0.7101153773298978
1985,30,31,61,tier_1_norm,130927.23419682268,118228.66395483587,109842.70482051936,1710833.9829031897,1530391.9416846728,413262.73748574936,0.23284665035774732,96226.8441412298,0.5800000000000001,0.298248458478557
1985,30,32,62,tier_1_norm,135509.68739371144,122366.66719325511,117354.52850501939,1778199.2375474467,1432315.8190476825,738152.6350011234,0.23284665035774732,171876.36851275645,0.45999999999999996,0.12526435256099394
1985,30,33,63,tier_1_norm,140252.52645249135,126649.50054501904,125257.6225340293,1846415.0390770347,1257277.8906452628,1207591.063245347,0.23284665035774732,281183.53407862963,0.06,0.06764275038293673
1985,30,34,64,tier_1_norm,145161.36487832852,131082.23306409467,133570.1738476512,1915218.7080864236,1304896.1562056486,1221539.5085428657,0.23284665035774732,284431.3828438551,0.06,0.06358418535996052
1985,30,35,65,tier_1_norm,150242.01264907,135670.11122133798,142311.1631656225,1984354.043227651,1354535.0596572,1232150.309294584,0.23284665035774732,286902.0722565062,0.06,0.059769134238362887
1985,30,36,66,tier_1_norm,155500.48309178746,140418.5651140848,151500.39827288841,2053553.3199413652,1406463.5206997346,1238789.7525194166,0.23284665035774732,288448.0443716489,0.06,0.05618298618406111
