class,year,total_payroll,payroll_db_legacy,payroll_db_new,payroll_dc_legacy,payroll_dc_new,pvfb_retire_current,liability_gain_loss_legacy,liability_gain_loss_new,total_liability_gain_loss,dr_legacy,dr_new,total_aal,aal_legacy,aal_new,total_ava,ava_legacy,ava_new,total_mva,mva_legacy,mva_new,roa,total_ual_ava,ual_ava_legacy,ual_ava_new,total_ual_mva,ual_mva_legacy,ual_mva_new,fr_ava,fr_mva,total_nc_rate,nc_rate_db_legacy,nc_rate_db_new,nc_rate_legacy,nc_rate_new,ee_nc_rate_legacy,ee_nc_rate_new,er_nc_rate_legacy,er_nc_rate_new,er_stat_rate,amo_rate_legacy,amo_rate_new,admin_exp_rate,er_dc_rate_legacy,er_dc_rate_new,nc_legacy,nc_new,total_ee_nc_cont,ee_nc_cont_legacy,ee_nc_cont_new,total_er_nc_cont,er_nc_cont_legacy,er_nc_cont_new,total_er_amo_cont,er_amo_cont_legacy,er_amo_cont_new,er_dc_cont_legacy,er_dc_cont_new,total_er_cont,total_er_db_cont,total_er_dc_cont,total_ben_payment,ben_payment_legacy,ben_payment_new,total_refund,refund_legacy,refund_new,disbursement_to_IP,admin_exp_legacy,admin_exp_new,total_solv_cont,solv_cont_legacy,solv_cont_new,total_er_cont_rate,total_er_cont_real,cum_er_cont_real,total_ual_mva_real,all_in_cost_real,net_cf_legacy,exp_inv_earnings_ava_legacy,alloc_inv_earnings_ava_legacy,exp_ava_legacy,net_reallocation_legacy,ava_base_legacy,unadj_ava_legacy,net_cf_new,exp_inv_earnings_ava_new,alloc_inv_earnings_ava_new,exp_ava_new,net_reallocation_new,ava_base_new,unadj_ava_new
regular,2022,29126383663,18917045000,0,10209338663,0,NA,0,0,0,0.067,0.067,145585523000,145585523000,0,123245363000,123245363000,0,123965876000,123965876000,0,-0.0718,22340160000,22340160000,0,21619647000,21619647000,0,0.8465495775977671,0.8514986479802665,0.0896,0.0896,0,0.0896,0,0.03,0,0.0596,0,0.1223,0.0627,0,0,0.066,0,1694967232,0,567511350,567511350,0,1127455882,1127455882,0,1285098768,1285098768,0,673816351.758,0,3086371001.758,2412554650,673816351.758,8373165620.599579,8373165620.599579,0,19868332.576116256,19868332.576116256,0,538425528.7608147,15768185.487374172,0,0,0,0,0.10596478565509995,3086371001.758,NA,21619647000,NA,-5967161667.423883,NA,8163242000,NA,670660000,NA,NA,NA,NA,NA,NA,NA,NA,NA
special,2022,5451709307,4601265000,0,850444307,0,NA,0,0,0,0.067,0.067,45070773000,45070773000,0,36060861000,36060861000,0,36271679000,36271679000,0,-0.0718,9009912000,9009912000,0,8799094000,8799094000,0,0.8000941319555358,0.8047716199586814,0.2013,0.2013,0,0.2013,0,0.03,0,0.1713,0,0.2975,0.1262,0,0,0.1654,0,926234644.5,0,138037950,138037950,0,788196694.5,788196694.5,0,428000355.5,428000355.5,0,140663488.3778,0,1356860538.3778,1216197050,140663488.3778,2262952876.444555,2262952876.444555,0,5369665.714322727,5369665.714322727,0,145516242.5144073,4261549.612392538,0,0,0,0,0.2488871768411404,1356860538.3778,NA,8799094000,NA,-1063865334.285677,NA,2362271000,NA,258680000,NA,NA,NA,NA,NA,NA,NA,NA,NA
admin,2022,5381322,3749000,0,1632322,0,NA,0,0,0,0.067,0.067,90337000,90337000,0,74171000,74171000,0,74605000,74605000,0,-0.0718,16166000,16166000,0,15732000,15732000,0,0.8210478541461417,0.825852087184653,0.1457,0.1457,0,0.1457,0,0.03,0,0.1157,0,0.4538,0.3381,0,0,0.0843,0,546229.2999999999,0,112470,112470,0,433759.3,433759.3,0,4616770.7,4616770.7,0,137604.7446,0,5188134.7446,5050530,137604.7446,7554163.56317035,7554163.56317035,0,17924.957036344935,17924.957036344935,0,485760.66629318916,14225.856463771219,0,0,0,0,0.9641004096391184,5188134.7446,NA,15732000,NA,-2909075.0429636557,NA,4899000,NA,276000,NA,NA,NA,NA,NA,NA,NA,NA,NA
eso,2022,57226218.438756615,42615000,0,14611218.438756615,0,NA,0,0,0,0.067,0.067,751363000,751363000,0,316423000,316423000,0,318273000,318273000,0,-0.0718,434940000,434940000,0,433090000,433090000,0,0.421131996119053,0.42359418816204686,0.1463,0.1463,0,0.1463,0,0.03,0,0.11630000000000001,0,0.7650000000000001,0.6487,0,0,0.1195,0,6234574.500000001,0,1278450,1278450,0,4956124.500000001,4956124.500000001,0,29915425.5,29915425.5,0,1746040.6034314155,0,36617590.60343142,34871550,1746040.6034314155,49980736.57382647,49980736.57382647,0,118597.18792674896,118597.18792674896,0,3213946.282324999,94122.76799503317,0,0,0,0,0.6398743723144924,36617590.60343142,NA,433090000,NA,-17257402.812073246,NA,20927000,NA,3206000,NA,NA,NA,NA,NA,NA,NA,NA,NA
eco,2022,7973936.05747593,5938000,0,2035936.05747593,0,NA,0,0,0,0.067,0.067,138008000,138008000,0,63028000,63028000,0,63396000,63396000,0,-0.0718,74980000,74980000,0,74612000,74612000,0,0.45669816242536665,0.4593646745116225,0.1254,0.1254,0,0.1254,0,0.03,0,0.09540000000000001,0,0.8602000000000001,0.7648,0,0,0.0994,0,744625.2000000001,0,178140,178140,0,566485.2000000001,566485.2000000001,0,5862374.8,5862374.8,0,202372.04411310746,0,6631232.044113107,6428860,202372.04411310746,8816614.630834913,8816614.630834913,0,20920.574083704436,20920.574083704436,0,566940.9408084415,16603.280189237066,0,0,0,0,0.8316133959835336,6631232.044113107,NA,74612000,NA,-2814079.4259162955,NA,4152000,NA,585000,NA,NA,NA,NA,NA,NA,NA,NA,NA
judges,2022,146524096.50376746,109113000,0,37411096.50376746,0,NA,0,0,0,0.067,0.067,1545348000,1545348000,0,1018077000,1018077000,0,1024029000,1024029000,0,-0.0718,527271000,527271000,0,521319000,521319000,0,0.6588011244069297,0.6626526840556302,0.1777,0.1777,0,0.1777,0,0.03,0,0.1477,0,0.4829,0.3352,0,0,0.1405,0,19389380.1,0,3273390,3273390,0,16115990.1,16115990.1,0,38467619.9,38467619.9,0,5256259.058779329,0,59839869.05877933,54583610,5256259.058779329,98833484.32388164,98833484.32388164,0,234517.81860999917,234517.81860999917,0,6355358.709905601,186121.3289927566,0,0,0,0,0.4083960965235552,59839869.05877933,NA,521319000,NA,-47752482.18138999,NA,67018000,NA,11191000,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior management,2022,824335420,542652000,0,281683420,0,NA,0,0,0,0.067,0.067,6039701000,6039701000,0,3391319000,3391319000,0,3411145000,3411145000,0,-0.0718,2648382000,2648382000,0,2628556000,2628556000,0,0.5615044519587973,0.5647870647901279,0.1086,0.1086,0,0.1086,0,0.03,0,0.0786,0,0.4139,0.3353,0,0,0.0798,0,58932007.2,0,16279560,16279560,0,42652447.2,42652447.2,0,231473992.8,231473992.8,0,22478336.915999997,0,296604776.916,274126440,22478336.915999997,316419540.3795003,316419540.3795003,0,750818.6206630396,750818.6206630396,0,20346947.147438224,595875.2317353981,0,0,0,0,0.35981078784167736,296604776.916,NA,2628556000,NA,-47707181.37933701,NA,219973000,NA,31897000,NA,NA,NA,NA,NA,NA,NA,NA,NA
drop,2022,2396438000,2396438000,0,0,0,NA,0,0,0,0.067,0.067,18213388000,18213388000,0,15009653000,15009653000,0,15097402000,15097402000,0,-0.0718,3203735000,3203735000,0,3115986000,3115986000,0,0.8240999972108429,0.8289178268205784,0.11175817686265885,0.11175817686265885,0,0.11175817686265885,0,0.03,0,0.08175817686265885,0,0.18185817686265884,0.1001,0,0,0,0,267821541.84439644,0,71893140,71893140,0,195928401.84439644,195928401.84439644,0,150027458.15560356,150027458.15560356,0,0,0,345955860,345955860,0,800797363.6310126,800797363.6310126,0,1900178.3874375052,1900178.3874375052,0,51494233.301982574,1508046.2921298144,0,0,0,0,0.14436253305948246,345955860,NA,3115986000,NA,-437850821.6125623,NA,1053560000,NA,-976495000,NA,NA,NA,NA,NA,NA,NA,NA,NA
frs,2022,38015971963,26618815000,0,11397156963,0,0,0,0,0,0.067,0.067,217434441000,217434441000,0,179178895000,179178895000,0,180226405000,180226405000,0,-0.0718,38255546000,38255546000,0,37208036000,37208036000,0,0.8240594000469319,0.8288769900992824,0.11175817686265885,0.11175817686265885,0,0.11175817686265885,0,0.03,0,0.08175817686265885,0,0.16405817686265883,0.0823,0,0,0.07407991802198399,0,2974870234.6443963,0,763674943,798564450,0,2176305784.6443963,2176305784.6443963,0,2173462765.3556037,2173462765.3556037,0,844300453.502724,0,5194069003.502724,4349768550,844300453.502724,11944986866,11944986866,0,28343757,28343757,0,768106850,22494571,0,0,0,0,0.136628599383385,5194069003.502724,NA,37208036000,NA,-7650488551,11632978139.954002,11896042000,178880941804.954,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
